Document Name,Accuracy,Time (seconds)
W2_XL_input_clean_1068,76.08695652173914,2.6242942810058594
W2_XL_input_clean_1069,82.6086956521739,2.6361658573150635
W2_XL_input_clean_1070,84.78260869565217,2.7296361923217773
W2_XL_input_clean_1071,80.43478260869566,2.5796401500701904
W2_XL_input_clean_1072,89.13043478260869,2.5707709789276123
W2_XL_input_clean_1073,82.6086956521739,2.513169050216675
W2_XL_input_clean_1074,78.26086956521739,2.6343181133270264
W2_XL_input_clean_1075,82.6086956521739,2.543848991394043
W2_XL_input_clean_1076,76.08695652173914,2.504971981048584
W2_XL_input_clean_1077,86.95652173913044,2.5050177574157715
W2_XL_input_clean_1078,80.43478260869566,2.667433977127075
W2_XL_input_clean_1079,71.73913043478261,2.545009136199951
W2_XL_input_clean_1080,78.26086956521739,2.478645086288452
W2_XL_input_clean_1081,80.43478260869566,2.582555055618286
W2_XL_input_clean_1082,78.26086956521739,2.5565319061279297
W2_XL_input_clean_1083,84.78260869565217,2.569261074066162
W2_XL_input_clean_1084,82.6086956521739,2.573945999145508
W2_XL_input_clean_1085,76.08695652173914,2.580976963043213
W2_XL_input_clean_1086,76.08695652173914,2.5805959701538086
W2_XL_input_clean_1087,78.26086956521739,2.5537450313568115
W2_XL_input_clean_1088,84.78260869565217,2.5432398319244385
W2_XL_input_clean_1089,65.21739130434783,2.5967838764190674
W2_XL_input_clean_1090,78.26086956521739,2.6039798259735107
W2_XL_input_clean_1091,78.26086956521739,2.463623046875
W2_XL_input_clean_1092,69.56521739130434,2.619370937347412
W2_XL_input_clean_1093,78.26086956521739,2.550978899002075
W2_XL_input_clean_1094,82.6086956521739,2.476741075515747
W2_XL_input_clean_1095,76.08695652173914,2.495181083679199
W2_XL_input_clean_1096,69.56521739130434,2.4797050952911377
W2_XL_input_clean_1097,76.08695652173914,2.575218915939331
W2_XL_input_clean_1098,80.43478260869566,2.5875537395477295
W2_XL_input_clean_1099,84.78260869565217,2.494771957397461
W2_XL_input_clean_1100,78.26086956521739,2.4933886528015137
W2_XL_input_clean_1101,91.30434782608695,2.5030357837677
W2_XL_input_clean_1102,71.73913043478261,2.568436861038208
W2_XL_input_clean_1103,82.6086956521739,2.6159579753875732
W2_XL_input_clean_1104,71.73913043478261,2.662966012954712
W2_XL_input_clean_1105,78.26086956521739,2.6461589336395264
W2_XL_input_clean_1106,84.78260869565217,2.6953420639038086
W2_XL_input_clean_1107,89.13043478260869,2.838340997695923
W2_XL_input_clean_1108,76.08695652173914,2.9277148246765137
W2_XL_input_clean_1109,89.13043478260869,2.6792352199554443
W2_XL_input_clean_1110,76.08695652173914,2.4763450622558594
W2_XL_input_clean_1111,80.43478260869566,2.583822011947632
W2_XL_input_clean_1112,78.26086956521739,2.6368889808654785
W2_XL_input_clean_1113,78.26086956521739,2.5274899005889893
W2_XL_input_clean_1114,82.6086956521739,2.5818910598754883
W2_XL_input_clean_1115,84.78260869565217,2.6052117347717285
W2_XL_input_clean_1116,78.26086956521739,2.6920032501220703
W2_XL_input_clean_1117,78.26086956521739,2.592952013015747
W2_XL_input_clean_1118,80.43478260869566,2.5872561931610107
W2_XL_input_clean_1119,82.6086956521739,2.592742919921875
W2_XL_input_clean_1120,78.26086956521739,2.6623051166534424
W2_XL_input_clean_1121,84.78260869565217,2.6749207973480225
